Title,Authors,Category,Subcategory,Language,Type,Resume,File
Ciencia social y ciencia natural,Ludwig von Mises,Filosofía,Filosofía de las ciencias,Español,Artículo,E:\Library\Ludwig von Mises\Ciencia social y ciencia natural's resume.docx,E:\Library\Ludwig von Mises\Ciencia social y ciencia natural.pdf
The Thousand and One Nights,Jorge Luis Borges,Literatura,Crítica literaria,Inglés,Artículo,E:\Library\Jorge Luis Borges\The Thousand and One Nights's resume.docx,E:\Library\Jorge Luis Borges\The Thousand and One Nights.pdf
La acción humana,Ludwig von Mises,Economía,Tratado,Español,Libro,E:\Library\Ludwig von Mises\La acción humana's resume.docx,E:\Library\Ludwig von Mises\La acción humana.pdf
La loi de fer de l'oligarchie,Dalmacio Negro Pavón,Política,Teoría política,Francés,Libro,E:\Library\Dalmacio Negro Pavón\La loi de fer de l'oligarchie's resume.docx,E:\Library\Dalmacio Negro Pavón\La loi de fer de l'oligarchie.pdf
Introducción a la política,Maurice Duverger,Política,Teoría política,Español,Libro,E:\Library\Maurice Duverger\Introducción a la política's resume.docx,E:\Library\Maurice Duverger\Introducción a la política.pdf
La gaviota,Antón Chéjov,Literatura,Teatro,Español,Libro,E:\Library\Antón Chejóv\La gaviota's resume.docx,E:\Library\Antón Chejóv\La gaviota.pdf
La forja de la gloria,,Fútbol,Historia,Español,Libro,E:\Library\Antonio Escohotado\La forja de la gloria's resume.docx,E:\Library\Antonio Escohotado\La forja de la gloria.pdf
Ordinary Men,Christopher Browning,Historia,Holocausto,Inglés,Libro,E:\Library\Christopher Browning\Ordinary Men's resume.docx,E:\Antigua biblioteca\Christopher R. Browning\Ordinary Men Reserve Police Battalion 101 and the Final Solution in Poland (Christopher R. Browning) (z-lib.org).pdf
Táctica y estrategia del fútbol,Osvaldo Zubeldía,Fútbol,Estrategia,Español,Libro,E:\Library\Osvaldo Zubeldía\Táctica y estrategia del fútbol's resume.docx,"E:\Antigua biblioteca\Osvaldo Zubeldía\Táctica y estrategia del fútbol by Osvaldo J. Zubeldía, Argentino Geronazzo (z-lib.org).pdf"
Socrates,Paul Johnson,Historia,Biografía,Inglés,Libro,E:\Library\Paul Johnson\Socrates's resume.docx,E:\Antigua biblioteca\Paul Johnson\Socrates.pdf
Obras completas,Kurt Gödel,Matemáticas,Obras completas,Español,Libro,E:\Library\Kurt Gödel\Obras completas's resume.docx,E:\Antigua biblioteca\Kurt Gödel\Obras completas (Kurt Gödel) (z-lib.org).pdf
Los enemigos del comercio,Antonio Escohotado,Historia,Economía,Español,Libro,E:\Library\Antonio Escohotado\Los enemigos del comercio's resume.docx,E:\Antigua biblioteca\Antonio Escohotado\Los enemigos del comercio.pdf
Jesus and logotherapy,Robert Leslie,Psicología,Religión,Inglés,Libro,E:\Library\Robert Leslie\Jesus and logotherapy's resume.docx,E:\Antigua biblioteca\Robert Leslie\Jesus and logotherapy.pdf
The language of fashion design,Laura Volpinsteta,Estética,Moda,Inglés,Libro,E:\Library\Laura Volpinsteta\The language of fashion design's resume.docx,E:\Antigua biblioteca\Laura Volpinsteta\The language of fashion d.pdf
